english,dagbani,source,license,domain,verse_id,pair_id,group,split
"For the first 6 months, feed your baby only breast milk — no water, porridge, or other foods. Breast milk alone is enough during this time.",,chw-companion/nutrition.json,app-content-prototype,health,exclusive_breastfeeding_0_6mo,21fe0580fe3bec5b,exclusive_breastfeeding_0_6mo,health_review
Start breastfeeding within the first hour after birth. This helps protect the baby and supports your milk supply.,,chw-companion/nutrition.json,app-content-prototype,health,early_initiation,a9b2cd2b1f301a2b,early_initiation,health_review
"Breastfeed on demand, day and night, as often as the baby wants — this is normal and helps your milk supply increase.",,chw-companion/nutrition.json,app-content-prototype,health,frequent_feeding_newborn,80ce0ad3d1181111,frequent_feeding_newborn,health_review
"At 6 months, start adding soft, mashed foods alongside continued breastfeeding. Do not stop breast milk — add food on top of it.",,chw-companion/nutrition.json,app-content-prototype,health,complementary_feeding_start,3f68e19ae7ed24e2,complementary_feeding_start,health_review
"Try to include a mix of foods each day — grains, beans or groundnuts, vegetables, fruit, and if available, eggs, fish, or meat — for a well-rounded diet.",,chw-companion/nutrition.json,app-content-prototype,health,dietary_diversity,a1c0fb35c4a3b611,dietary_diversity,health_review
Keep breastfeeding alongside other foods until your child is at least 2 years old.,,chw-companion/nutrition.json,app-content-prototype,health,continued_breastfeeding_2yr,cb3103739cb64857,continued_breastfeeding_2yr,health_review
"Feed your child patiently, encourage them gently, and watch for hunger and fullness cues rather than forcing them to finish.",,chw-companion/nutrition.json,app-content-prototype,health,responsive_feeding,0212fd26ca8e19ff,responsive_feeding,health_review
"Continue feeding your child small, frequent meals during illness, and offer extra food after recovery to help them catch up.",,chw-companion/nutrition.json,app-content-prototype,health,sick_child_feeding,d1df03396391fd1a,sick_child_feeding,health_review
Eat a variety of foods during pregnancy and take iron-folic acid supplements as advised by your health worker.,,chw-companion/nutrition.json,app-content-prototype,health,maternal_nutrition_pregnancy,5d2475236e4680eb,maternal_nutrition_pregnancy,health_review
Continue eating a varied diet and drink enough fluids while breastfeeding — your body needs extra energy during this time.,,chw-companion/nutrition.json,app-content-prototype,health,maternal_nutrition_postpartum,8e29cc2256625e9b,maternal_nutrition_postpartum,health_review
